,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
1903,Sweet Fruit Candy,GAME,4.5,197540,29M,197540,Free,0,Everyone,Puzzle,"July 16, 2018",79.0,4.1 and up
4146,Gangstar Vegas - mafia game,GAME,4.5,4830407,32M,4830407,Free,0,Mature 17+,Action,"May 25, 2018",3.7.1a,Varies with device
3898,STARDOM: THE A-LIST,GAME,4.5,152658,29M,152658,Free,0,Teen,Adventure,"September 12, 2014",2.1.8,2.1 and up
3912,Asphalt 8: Airborne,GAME,4.5,8389714,92M,8389714,Free,0,Teen,Racing,"July 4, 2018",3.7.1a,4.0.3 and up
3918,Law of Creation: A Playable Manga,GAME,4.5,13118,47M,13118,Free,0,Teen,Adventure,"June 25, 2018",1.0.19,4.0.3 and up
3921,Rolling Sky,GAME,4.5,1117212,50M,1117212,Free,0,Everyone,Board,"August 3, 2018",Varies with device,4.0.3 and up
3967,Pixel Gun 3D: Survival shooter & Battle Royale,GAME,4.5,4487182,55M,4487182,Free,0,Teen,Action,"July 4, 2018",15.1.2,4.0.3 and up
4035,FRONTLINE COMMANDO: D-DAY,GAME,4.5,1736105,14M,1736105,Free,0,Mature 17+,Action,"May 16, 2014",3.0.4,2.1 and up
4044,Dr. Driving,GAME,4.5,4972230,9.9M,4972230,Free,0,Everyone,Racing,"March 2, 2018",1.52,4.0.3 and up
4052,Bike Race Free - Top Motorcycle Racing Games,GAME,4.5,2586261,Varies with device,2586261,Free,0,Everyone,Racing,"July 31, 2018",7.7.9,4.2 and up
4059,Smash Hit,GAME,4.5,4147718,79M,4147718,Free,0,Everyone,Arcade,"November 26, 2015",1.4.0,2.3 and up
4148,Granny,GAME,4.5,1128805,59M,1128805,Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up
4188,Geometry Dash Lite,GAME,4.5,6181640,58M,6181640,Free,0,Everyone,Arcade,"December 22, 2017",2.2,4.0 and up
4235,Sonic Dash,GAME,4.5,3777822,75M,3777822,Free,0,Everyone,Arcade,"July 26, 2018",3.8.5.Go,4.1 and up
4327,Last Day on Earth: Survival,GAME,4.5,2308916,87M,2308916,Free,0,Teen,Action,"August 1, 2018",1.9.3,4.1 and up
4575,Stupid Zombies,GAME,4.5,464900,33M,464900,Free,0,Teen,Arcade,"June 27, 2018",2.0.5,4.2 and up
4767,Casino X - Free Online Slots,GAME,4.5,30515,Varies with device,30515,Free,0,Teen,Casino,"May 22, 2018",2.92,4.0 and up
4777,Hero Fighter X,GAME,4.5,24210,45M,24210,Free,0,Teen,Action,"November 13, 2015",1.091,2.2 and up
4783,Robocar X Ray,GAME,4.5,3432,99M,3432,Free,0,Mature 17+,Action,"January 23, 2017",1.0,2.3 and up
4784,Space X: Sky Wars of Air Force,GAME,4.5,10748,47M,10748,Free,0,Everyone,Arcade,"August 4, 2018",4.0,4.1 and up
5001,AE Spider Solitaire,GAME,4.5,17263,Varies with device,17263,Free,0,Everyone,Card,"June 7, 2017",Varies with device,Varies with device
5020,AE City Jump,GAME,4.5,804,27M,804,Free,0,Everyone,Action,"July 18, 2018",1.0.4,4.0 and up
1908,My Talking Tom,GAME,4.5,14892469,Varies with device,14892469,Free,0,Everyone,Casual,"July 19, 2018",4.8.0.132,4.1 and up
1954,Arrow.io,GAME,4.5,343263,Varies with device,343263,Free,0,Everyone 10+,Action,"August 6, 2018",1.2.6,4.0.3 and up
1913,Rider,GAME,4.5,655145,72M,655145,Free,0,Teen,Arcade,"July 17, 2017",1.2.1,4.0.3 and up
1919,Crossy Road,GAME,4.5,4230886,60M,4230886,Free,0,Everyone,Action,"August 1, 2018",3.1.0,5.0 and up
1928,Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,184210,99M,184210,Free,0,Everyone,Action,"July 30, 2018",1.0.6,4.4 and up
1930,Hungry Shark World,GAME,4.5,1242855,27M,1242855,Free,0,Teen,Action,"July 18, 2018",3.0.0,4.2 and up
1931,Dude Perfect 2,GAME,4.5,401425,70M,401425,Free,0,Everyone,Action,"April 12, 2017",1.6.1,4.0.3 and up
1936,DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468591,Varies with device,1468591,Free,0,Mature 17+,Action,"July 23, 2018",Varies with device,Varies with device
1938,Anger of stick 5 : zombie,GAME,4.5,549039,23M,549039,Free,0,Teen,Action,"August 3, 2018",1.1.5,2.3 and up
1944,Extreme Match,GAME,4.5,696,Varies with device,696,Free,0,Everyone,Action,"July 5, 2018",1.1.7,4.1 and up
1949,Garena Free Fire,GAME,4.5,5476569,53M,5476569,Free,0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up
1955,BEYBLADE BURST app,GAME,4.5,216849,Varies with device,216849,Free,0,Everyone,Action;Action & Adventure,"July 16, 2018",Varies with device,Varies with device
2000,Magic Tiles 3,GAME,4.5,592504,Varies with device,592504,Free,0,Everyone,Music,"August 3, 2018",5.13.007,4.1 and up
1956,Dragon Hills,GAME,4.5,354373,66M,354373,Free,0,Everyone 10+,Action,"October 12, 2017",1.2.7,4.1 and up
1959,Tiny Archers,GAME,4.5,80678,Varies with device,80678,Free,0,Mature 17+,Action,"May 25, 2018",Varies with device,Varies with device
1961,Runner 3d like,GAME,4.5,559,32M,559,Free,0,Everyone 10+,Action,"August 3, 2018",1.0.7,4.0 and up
1965,Quiz: Logo game,GAME,4.5,306764,29M,306764,Free,0,Everyone,Trivia,"August 3, 2018",6.2,4.0.3 and up
1970,8 Ball Pool,GAME,4.5,14201604,52M,14201604,Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up
1972,Bubble Shooter,GAME,4.5,148990,46M,148990,Free,0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up
1654,Subway Surfers,GAME,4.5,27722264,76M,27722264,Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up
1975,Blossom Blast Saga,GAME,4.5,1125438,63M,1125438,Free,0,Everyone,Casual,"July 5, 2018",57.0.8,4.0.3 and up
1976,Traffic Racer,GAME,4.5,5387781,53M,5387781,Free,0,Everyone,Racing,"February 27, 2018",2.5,4.1 and up
1987,Jewels Star: OZ adventure,GAME,4.5,21892,14M,21892,Free,0,Everyone,Puzzle,"December 29, 2017",1.3,4.0 and up
1988,Hungry Shark Evolution,GAME,4.5,6074627,100M,6074627,Free,0,Teen,Arcade,"July 25, 2018",6.0.0,4.1 and up
1974,Bubble Shooter Genies,GAME,4.5,26985,41M,26985,Free,0,Everyone,Casual,"June 4, 2018",1.9.1,4.0.3 and up
